# this table describes the count for each observation concept in OBSERVATION_FACTS.txt ##
cpt,count
VITAL:PULSE,2187374
VITAL:BP_SYSTOLIC,1860105
VITAL:BP_DIASTOLIC,1859936
PRNT_LOC|1070999|EPIC,1857831
VITAL:RESP,1715939
VITAL:TEMP,1168443
VITAL:WEIGHT,589745
PRNT_LOC|1060999|EPIC,542573
VITAL:HEIGHT,456158
PYR:200,344675
LOINC:2823-3,340499
VITAL:BMI,338990
LOINC:718-7,337727
SOC_HIST:BRTH_CNTRL:0,333444
LOINC:788-0,331050
LOINC:789-8,327781
LOINC:2160-0,320195
LOINC:2075-0,309810
LOINC:777-3,299211
LOINC:787-2,294110
LOINC:2951-2,292412
LOINC:3094-0,291739
LOINC:2345-7,281044
LOINC:17861-6,279289
LOINC:2028-9,278517
LOINC:32623-1,273813
LOINC:785-6,268705
LOINC:786-4,260668
LOINC:3097-3,255918
VITAL:BSA,253138
SOC_HIST:SMKLSS_TBCCO_USE:NEVERUSER,229057
MDCTN:27838,219469
SOC_HIST:ALC_USE:NO,210141
LOINC:4544-3,199868
LOINC:48643-1,199022
LOINC:48642-3,197706
LOINC:19123-9,190750
CPT:99214,187260
LOINC:6690-2,170850
PYR:300,170625
ICD9:401.9,159955
ICD10:I10,156439
LOINC:33037-3,153160
SOC_HIST:SMKTBCCO_USE:NEVERSMOKER,150625
LOINC:2777-1,148716
ICD9:V58.69,147464
PYR:600,143625
LOINC:1742-6,139407
MDCTN:101,138368
LOINC:1920-8,136454
MDCTN:400291,135325
CPT:99213,132185
LOINC:20570-8,131976
MDCTN:3037,131422
MDCTN:10814,128989
LOINC:1975-2,125948
SOC_HIST:SMKTBCCO_USE:FORMERSMOKER,125323
SOC_HIST:TBCCO_USE:03,123860
LOINC:6768-6,123314
LOINC:33914-3,123250
LOINC:751-8,121398
MDCTN:106348,120501
DEPT|1070015320130|EPIC,116908
LOINC:2885-2,112722
SOC_HIST:TBCCO_USE:02,109370
LOINC:12227-5,107026
LOINC:742-7,106537
DEPT|1070149315058|EPIC,106143
LOINC:731-0,105975
LOINC:704-7,103423
LOINC:711-2,102622
ICD9:250.00,99952
LOINC:1752-5,97270
SOC_HIST:SMKLSS_TBCCO_USE:UNKNOWN,93323
MDCTN:126146,90576
MDCTN:4318,90001
SOC_HIST:ALC_USE:YES,89171
ICD10:Z79.899,88556
PRNT_LOC|1020999|EPIC,84989
LOINC:2340-8,84346
LOINC:10466-1,84073
LOINC:6301-6,83622
MDCTN:17837,81701
MDCTN:5940,81138
CPT:99232,80319
ICD9:272.4,80110
MDCTN:11150,78249
MDCTN:3291,77510
LOINC:26499-4,73301
PYR:620,72648
LOINC:5902-2,72459
MDCTN:122812,71333
ICD9:427.31,70326
MDCTN:250,69940
LOINC:26474-7,69813
DEPT|1070900000001|EPIC,69316
MDCTN:2327,69124
LOINC:2339-0,67976
MDCTN:10491,65131
MDCTN:2566,64535
MDCTN:18308,63987
MDCTN:408007016,63885
MDCTN:70536,63454
MDCTN:10323,62969
MDCTN:4080078,62271
LOINC:14979-9,62174
ICD10:I25.10,62044
ICD10:E78.5,61792
DEPT|1060128360001|EPIC,61754
MDCTN:26225,61572
MDCTN:10779,61156
CPT:99233,59195
MDCTN:14632,59110
ICD9:530.81,58948
ICD10:E11.9,58025
ICD10:K21.9,57940
MDCTN:25424,57683
MDCTN:27694,57634
PRNT_LOC|1031999|EPIC,57204
MDCTN:679,57132
PYR:221,55763
CPT:93010,54829
MDCTN:34505,53104
SOC_HIST:TBCCO_USE:UN,53092
CPT:99024,52622
DEPT|1070011320125|EPIC,52480
LOINC:26449-9,52228
ICD10:Z87.891,52087
LOINC:2965-2,51345
LOINC:26444-0,50972
LOINC:26484-6,50968
DEPT|1070100375100|EPIC,50610
LOINC:17788-1,50042
SOC_HIST:TBCCO_USE:01,49868
MDCTN:7319,48888
MDCTN:4454,48239
MDCTN:105460,47139
ICD9:414.01,46422
ICD9:311,45230
MDCTN:27697,45176
DEPT|1080258426001|EPIC,44851
MDCTN:6496,44593
MDCTN:3295,43762
MDCTN:37637,43481
MDCTN:3294,43357
ICD10:Z79.82,43107
DEPT|1070011311001|EPIC,42962
PYR:216,42802
ICD10:F32.9,42629
ICD10:J44.9,41616
DEPT|1070011370285|EPIC,41422
MDCTN:122799,40763
ICD9:493.90,40731
ICD9:V15.82,40265
ICD9:244.9,40164
MDCTN:2332,39655
MDCTN:40841433,39570
MDCTN:130896,39562
MDCTN:9069,39249
ICD9:428.0,38804
PRNT_LOC|1011999|EPIC,38460
MDCTN:10176,38428
MDCTN:28282,38395
ICD10:I48.91,37920
LOINC:5799-2,37905
ICD9:V58.61,37855
ICD9:174.9,37742
LOINC:728-6,37325
MDCTN:10011,37218
MDCTN:6618,37195
LOINC:26478-8,37190
ICD9:786.50,36975
MDCTN:22142,36852
MDCTN:17405,36513
ICD9:305.1,36329
MDCTN:9071,36303
DEPT|1080059428009|EPIC,36244
SOC_HIST:SMKTBCCO_USE:CREVRYDYSMKR,36238
LOINC:702-1,36005
LOINC:23860-0,35923
LOINC:26485-3,35710
ICD10:Z79.01,35688
MDCTN:117338,35438
LOINC:4548-4,35055
DEPT|1070011345045|EPIC,34990
PRNT_LOC|1041999|EPIC,34858
MDCTN:20943,34663
LOINC:20454-5,34596
LOINC:32167-9,34367
LOINC:20407-3,34365
LOINC:9796-4,34363
LOINC:2514-8,34361
LOINC:5770-3,34361
LOINC:2093-3,34354
LOINC:2349-9,34317
LOINC:5803-2,34316
LOINC:738-5,34258
PYR:213,34193
ICD10:R06.02,34193
LOINC:26511-6,33840
MDCTN:800001,33768
LOINC:26450-7,33729
LOINC:30180-4,33632
ICD10:F41.9,33536
ICD10:G89.29,33467
MDCTN:128805,33379
CPT:99215,33315
LOINC:2085-9,33256
ICD9:V58.11,33209
CPT:71020,33035
ICD10:E03.9,32897
MDCTN:2508,32612
DEPT|1070085335001|EPIC,32554
DEPT|1080175430012|EPIC,32478
ICD9:496,32434
MDCTN:12580,32048
MDCTN:40841446,31884
CLIN|900|ADS,31872
ICD9:300.00,31511
LOINC:1751-7,31430
ICD9:786.05,31404
LOINC:10839-9,31123
ICD10:G47.33,31052
CLIN|042|ADS,30981
MDCTN:19177,30963
MDCTN:8085,30545
MDCTN:6494,30531
PYR:712,30350
ICD9:285.9,30252
ICD10:J45.909,29676
LOINC:19161-9,29388
MDCTN:170903,29338
ICD9:401.1,28763
MDCTN:3720,28550
MDCTN:113850,28524
MDCTN:10289,28506
MDCTN:18919,28359
MDCTN:105900,28329
MDCTN:11403,28223
MDCTN:10322,28214
ICD10:Z79.4,28212
LOINC:2571-8,28061
ICD10:N18.6,28059
ICD10:Z51.11,27928
ICD9:585.6,27837
LOINC:2532-0,27404
ICD9:V58.66,27231
MDCTN:29858,27157
CPT:71010,27085
MDCTN:127785,26813
MDCTN:33228,26771
LOINC:2157-6,26520
ICD10:Z23,26501
MDCTN:40849188,26358
ICD9:729.5,26067
MDCTN:4452,25904
DEPT|1061094420041|EPIC,25663
MDCTN:8982,25630
MDCTN:11349,25593
ICD9:724.2,25461
MDCTN:19178,25366
MDCTN:103890,25292
LOINC:2744-1,25235
LOINC:50560-2,25022
LOINC:2324-2,25018
ICD9:414.00,24985
LOINC:1960-4,24896
ICD9:338.29,24875
LOINC:11277-1,24854
MDCTN:22509,24803
ICD9:327.23,24795
MDCTN:14824,24615
MDCTN:11076,24597
DEPT|1070011362267|EPIC,24313
ICD9:272.0,24177
DEPT|1070011360027|EPIC,24151
ICD10:R07.9,24119
LOINC:11579-0,24111
MDCTN:18309,24091
ICD9:477.9,24082
ICD9:278.00,23717
ICD10:F17.210,23511
DEPT|1081116454037|EPIC,23378
DEPT|1080185425006|EPIC,23222
ICD9:786.2,23135
MDCTN:4572,23079
LOINC:1925-7,23037
CLIN|074|ADS,23006
ICD10:I12.9,22981
DEPT|1070011362268|EPIC,22787
MDCTN:10544,22660
LOINC:5769-5,22626
MDCTN:10449,22557
LOINC:15152-2,22555
ICD10:R05,22454
MDCTN:93931,22445
ICD10:D64.9,22417
LOINC:2703-7,22383
MDCTN:87795,22334
LOINC:741-9,22312
