## this table describes the cumulative counts (from most frequent to least frequent) for each distinct observation in OBSERVATION_FACT.txt. Step 20 means top 20; step 100 means top 100. Refer to graph for visualization. Skip this line when read in data ##
step,count
20,15815596
40,20525587
60,23281392
80,25312201
100,26794825
120,28004754
140,29015858
160,29849203
180,30592218
200,31284504
220,31940550
240,32533621
260,33069876
280,33563273
300,34019869
320,34453021
340,34863062
360,35253321
380,35620616
400,35965481
420,36295626
440,36611592
460,36912536
480,37199628
500,37476754
