hpoTerm,odds.ratio_steroid,CI.95.._steroid,p_steroid,odds.ratio_asthma.diagnosis,CI.95.._asthma.diagnosis,p_asthma.diagnosis
Increased red blood cell count,2.47,[2-3.06],6.08e-17,1.5,[1.25-1.79],9.20e-06
Increased VLDL cholesterol concentration,0.77,[0.38-1.53],4.45e-01,1.49,[1-2.23],4.84e-02
Abnormal VLDL cholesterol concentration,0.72,[0.36-1.44],3.48e-01,1.42,[0.96-2.1],7.90e-02
Increased hematocrit,2.42,[1.89-3.11],2.40e-12,1.23,[0.99-1.53],5.35e-02
Abnormal eosinophil count,3.74,[3.18-4.39],1.03e-59,1.17,[1.01-1.36],3.13e-02
Abnormal eosinophil morphology,3.74,[3.18-4.39],1.03e-59,1.17,[1.01-1.36],3.13e-02
Eosinophilia,3.74,[3.18-4.39],1.03e-59,1.17,[1.01-1.36],3.13e-02
Decreased lipoprotein lipase activity,3.8,[2.84-5.08],9.52e-20,1.08,[0.82-1.44],5.78e-01
Reduced blood urea nitrogen,2.35,[2.01-2.75],7.97e-27,1.08,[0.95-1.24],2.39e-01
Increased LDL cholesterol concentration,0.81,[0.57-1.15],2.25e-01,1.07,[0.86-1.33],5.39e-01
Hypercholesterolemia,2.99,[2.57-3.47],7.99e-48,1.05,[0.93-1.19],4.48e-01
Abnormal LDL cholesterol concentration,0.85,[0.61-1.18],3.28e-01,1.02,[0.82-1.26],8.71e-01
All,1,[0-Inf],1.00e+00,1,[0-Inf],1.00e+00
Phenotypic abnormality,1,[0-Inf],1.00e+00,1,[0-Inf],1.00e+00
Leukocytosis,4.53,[3.95-5.19],3.57e-107,0.98,[0.89-1.07],6.09e-01
Thrombocytosis,2.56,[2.18-2.99],7.80e-32,0.98,[0.85-1.12],7.28e-01
Decreased mean platelet volume,4.53,[3.98-5.15],2.84e-118,0.97,[0.87-1.07],5.06e-01
Abnormal granulocyte morphology,5.75,[4.95-6.7],1.18e-115,0.94,[0.85-1.03],1.66e-01
Abnormality of myeloid leukocytes,5.75,[4.95-6.7],1.18e-115,0.94,[0.85-1.03],1.66e-01
Abnormal hemoglobin,2.05,[1.79-2.35],4.46e-25,0.93,[0.83-1.03],1.65e-01
Elevated hemoglobin A1c,2.05,[1.79-2.35],4.46e-25,0.93,[0.83-1.03],1.65e-01
Abnormal erythrocyte sedimentation rate,9.13,[7.51-11.11],9.49e-111,0.92,[0.75-1.14],4.54e-01
Abnormal liver morphology,2.83,[2.5-3.21],5.57e-60,0.92,[0.83-1.01],8.79e-02
Abnormality of the abdominal organs,2.83,[2.5-3.21],5.57e-60,0.92,[0.83-1.01],8.79e-02
Abnormality of the digestive system,2.83,[2.5-3.21],5.57e-60,0.92,[0.83-1.01],8.79e-02
Abnormality of the liver,2.83,[2.5-3.21],5.57e-60,0.92,[0.83-1.01],8.79e-02
Elevated erythrocyte sedimentation rate,9.13,[7.51-11.11],9.49e-111,0.92,[0.75-1.14],4.54e-01
Elevated hepatic transaminase,2.83,[2.5-3.21],5.57e-60,0.92,[0.83-1.01],8.79e-02
Elevated serum alanine aminotransferase,2.89,[2.51-3.31],7.70e-52,0.92,[0.82-1.04],1.88e-01
Hyperlipidemia,2.43,[2.08-2.86],2.83e-28,0.92,[0.81-1.05],2.24e-01
Hypertriglyceridemia,2.43,[2.08-2.86],2.83e-28,0.92,[0.81-1.05],2.24e-01
Abnormal circulating thyroxine level,3.76,[2.97-4.75],5.95e-29,0.91,[0.72-1.14],3.94e-01
Abnormal thyroid hormone level,3.76,[2.97-4.75],5.95e-29,0.91,[0.72-1.14],3.94e-01
Abnormality of the thyroid gland,3.76,[2.97-4.75],5.95e-29,0.91,[0.72-1.14],3.94e-01
