hpo,mappedTo,aggrgtdFrom,notSeverePatientNo(%),nonSeverePercent,severePatientNo(%),severePercent,pVal
Reduced hematocrit,1,1,254[8.3],0.0833880499015102,85[24.7],0.247093023255814,2.73081351357183e-17
Decreased mean platelet volume,1,1,201[6.6],0.0659881812212738,70[20.3],0.203488372093023,6.72512669934327e-15
Leukocytosis,3,2,246[8.1],0.0807616546290217,78[22.7],0.226744186046512,1.54493853801558e-14
Neutrophilia,3,3,212[7],0.0695994747209455,69[20.1],0.200581395348837,1.95619440205266e-13
Lymphopenia,3,3,273[9],0.0896257386736704,75[21.8],0.218023255813953,2.84246253272335e-11
Hyperphosphatemia,1,1,91[3],0.0298752462245568,31[9],0.0901162790697674,6.78156694161306e-07
Eosinophilia,4,3,80[2.6],0.0262639527248851,28[8.1],0.0813953488372093,1.56518395373622e-06
Thrombocytosis,1,1,100[3.3],0.0328299409061064,31[9],0.0901162790697674,4.16145786507437e-06
Elevated serum alanine aminotransferase,1,1,130[4.3],0.0426789231779383,35[10.2],0.101744186046512,1.45146049527854e-05
Increased RBC distribution width,1,1,383[12.6],0.125738673670387,73[21.2],0.212209302325581,2.66401030871567e-05
Elevated serum aspartate aminotransferase,1,1,125[4.1],0.041037426132633,31[9],0.0901162790697674,0.000185721030425068
Hyperchloremia,1,1,175[5.7],0.0574523965856861,39[11.3],0.113372093023256,0.000234763021516771
Elevated C-reactive protein level,1,1,40[1.3],0.0131319763624425,14[4.1],0.0406976744186047,0.000695428057469382
Prolonged prothrombin time,1,1,112[3.7],0.0367695338148391,27[7.8],0.0784883720930233,0.000775464799248004
Decreased serum creatinine,1,1,213[7],0.0699277741300066,42[12.2],0.122093023255814,0.00110882977428793
Hypoalbuminemia,1,1,28[0.9],0.00919238345370978,11[3.2],0.0319767441860465,0.00122527718107082
Elevated erythrocyte sedimentation rate,1,1,15[0.5],0.00492449113591596,8[2.3],0.0232558139534884,0.00129305816640273
Elevated gamma-glutamyltransferase activity,1,1,38[1.2],0.0124753775443204,12[3.5],0.0348837209302326,0.00337556089083876
Leukopenia,3,2,139[4.6],0.0456336178594879,29[8.4],0.0843023255813953,0.00356724001035801
Hypercapnia,2,2,141[4.6],0.04629021667761,29[8.4],0.0843023255813953,0.00391407518586516
Hypermagnesemia,1,1,64[2.1],0.0210111621799081,17[4.9],0.0494186046511628,0.00412254447305439
Decreased mean corpuscular volume,2,1,97[3.2],0.0318450426789232,22[6.4],0.063953488372093,0.00474455250910042
Increased hematocrit,2,2,35[1.1],0.0114904793171372,11[3.2],0.0319767441860465,0.00509203411615167
Hypokalemia,2,2,146[4.8],0.0479317137229153,29[8.4],0.0843023255813953,0.00652704536495226
Increased circulating thyroxine level,2,2,13[0.4],0.00426789231779383,6[1.7],0.0174418604651163,0.00901608124095342
Decreased lipoprotein lipase activity,1,1,6[0.2],0.00196979645436638,4[1.2],0.0116279069767442,0.0133229096736291
Decreased serum complement C4,1,1,3[0.1],0.000984898227183191,3[0.9],0.00872093023255814,0.0164043861867869
Elevated serum creatinine,1,1,132[4.3],0.0433355219960604,25[7.3],0.0726744186046512,0.020465957272983
Hypocalcemia,2,2,274[9],0.0899540380827314,44[12.8],0.127906976744186,0.0249445251099296
Decreased serum complement C3,1,1,4[0.1],0.00131319763624425,3[0.9],0.00872093023255814,0.0265745483463564
Decreased serum anion gap,1,1,185[6.1],0.0607353906762968,32[9.3],0.0930232558139535,0.0265919196270477
Reticulocytopenia,9,5,1[0],0.000328299409061064,2[0.6],0.00581395348837209,0.0287373178314886
Increased HDL cholesterol concentration,8,1,63[2.1],0.020682862770847,14[4.1],0.0406976744186047,0.0325237877322162
Increased mean corpuscular volume,2,2,126[4.1],0.041365725541694,23[6.7],0.0668604651162791,0.0364498626657586
Increased hemoglobin,1,1,14[0.5],0.00459619172685489,5[1.5],0.0145348837209302,0.0367489177792247
